name,taxon_id,family,count
Agenioideus cinctellus,891015,54028,47
Agenioideus nubecula,1148155,54028,34
Agenioideus rhodosoma,1412145,54028,1
Agenioideus sericeus,1046340,54028,12
Agenioideus usurarius,1046341,54028,3
Aglais ichnusa,93532,47922,14
Aglais io,207977,47922,40657
Aglaoapis tridentata,987143,52777,7
,,47199,0
Aglaope infausta,497307,52028,159
Aglaostigma alboplagiatum,1421632,60628,1
Aglaostigma aucupariae,541649,60628,206
Aglaostigma discolor,1084159,60628,4
Aglaostigma fulvipes,545466,60628,131
Aglaostigma langei,987142,60628,1
Aglaostigma lichtwardti,713465,60628,6
,,60628,0
,,53237,0
Aglia tau,125099,47918,1221
Aglossa brabanti,912328,49683,58
Aglossa caprealis,212728,49683,616
Aglossa pinguinalis,212729,49683,2045
,,49683,0
,,51681,0
Agnocoris reclairei,887556,53505,2
Agnocoris rubicundus,451290,53505,16
Agnoea colurnella,1321662,452365,2
,,452365,0
Agnoea flavifrontella,1321664,452365,2
,,452365,0
Agnoea josephinae,823678,452365,10
,,452365,0
,,452365,0
,,452365,0
,,452365,0
Agnoea subochreella,1321667,452365,3
,,452365,0
Agnyphantes expunctus,784259,67599,3
Agoliinus nemoralis,1288772,48201,3
,,48201,0
Agolius abdominalis,1288774,48201,2
,,55519,0
Agonopterix adspersella,715021,423543,3
Agonopterix alpigena,1223435,423543,1
Agonopterix alstroemeriana,345618,423543,959
Agonopterix angelicella,523132,423543,21
Agonopterix arenella,319714,423543,639
,,423543,0
Agonopterix assimilella,385147,423543,12
,,423543,0
Agonopterix atomella,875311,423543,3
Agonopterix bipunctosa,1047124,423543,1
,,423543,0
Agonopterix capreolella,627573,423543,4
Agonopterix carduella,987146,423543,1
,,423543,0
,,423543,0
,,423543,0
Agonopterix ciliella,552583,423543,7
Agonopterix cnicella,875313,423543,2
Agonopterix conterminella,775771,423543,10
Agonopterix curvipunctosa,875314,423543,8
,,423543,0
,,423543,0
Agonopterix doronicella,1321920,423543,1
Agonopterix ferocella,875315,423543,2
Agonopterix ferulae,1143155,423543,2
,,423543,0
,,423543,0
Agonopterix furvella,871294,423543,3
Agonopterix heracliana,325297,423543,175
,,423543,0
Agonopterix hypericella,603696,423543,93
Agonopterix irrorata,875317,423543,3
,,423543,0
Agonopterix kaekeritziana,632650,423543,30
Agonopterix laterella,875318,423543,1
,,423543,0
,,423543,0
Agonopterix liturosa,558285,423543,40
,,423543,0
Agonopterix nervosa,345958,423543,120
,,423543,0
Agonopterix ocellana,320166,423543,224
,,423543,0
Agonopterix olusatri,933210,423543,1
,,423543,0
Agonopterix pallorella,477537,423543,15
,,423543,0
,,423543,0
,,423543,0
Agonopterix petasitis,1272400,423543,9
Agonopterix propinquella,544650,423543,62
Agonopterix purpurea,502493,423543,26
,,423543,0
Agonopterix rotundella,466333,423543,5
Agonopterix rutana,468296,423543,5
Agonopterix scopariella,706041,423543,6
Agonopterix selini,875321,423543,1
,,423543,0
,,423543,0
,,423543,0
,,423543,0
Agonopterix subpropinquella,490000,423543,26
Agonopterix thapsiella,861268,423543,1
Agonopterix umbellana,385159,423543,127
,,423543,0
,,423543,0
Agonopterix yeatiana,466354,423543,30
Agonoscena cisti,715408,446767,1
,,446767,0
,,446767,0
,,49567,0
,,49567,0
Agonum dolens,504236,49567,1
,,49567,0
Agonum ericeti,130425,49567,10
Agonum fuliginosum,492113,49567,8
,,49567,0
Agonum gracilipes,778747,49567,15
,,49567,0
Agonum impressum,972660,49567,3
,,49567,0
Agonum lugens,602259,49567,2
Agonum marginatum,245834,49567,61
Agonum micans,130426,49567,1
,,49567,0
Agonum muelleri,212779,49567,176
,,49567,0
,,49567,0
,,49567,0
Agonum piceum,547629,49567,2
,,49567,0
