name,taxon_id,family,count
Peribatodes rhomboidaria,83459,49530,12491
Perilampus aeneus,703175,203268,46
Peripsocus subfasciatus,308174,245116,46
Perla marginata,503857,154347,19
Perlamantis alliberti,341628,55129,87
Perlodes microcephalus,504993,123940,23
Phalangium opilio,84644,57409,16263
Phalera bucephala,55361,47718,5476
Phaneroserphus calcar,1016216,203200,28
Phaulernis dentella,524652,173638,48
Philaenus spumarius,56189,56195,6032
Philanthus triangulum,143529,51955,3350
Philodromus dispar,227754,47868,2470
Philoscia muscorum,48292,48294,8806
Phloiophilus edwardsii,865359,572458,31
Phosphuga atrata,362281,53849,3555
Physiphora alceae,334334,125458,537
Phytomyza ilicis,69629,48086,2375
Phytoptus avellanae,55560,373126,140
Pieris rapae,55626,48508,83227
Piesma maculatum,631042,343428,53
Pijnackeria masettii,747874,47320,100
Pimoa rupicola,484769,172367,2
Pisaura mirabilis,55787,55788,17488
Placonotus testaceus,549915,174146,28
Platyarthrus hoffmannseggii,205749,205750,327
Platycnemis pennipes,109650,85991,13951
Platynocheilus cuprifrons,519334,471987,1
Platystoma seminationis,62005,62007,473
Platystomos albinus,317906,172909,870
Plea minutissima,490806,130977,93
Pleuroxus aduncus,483920,85693,20
Plutella xylostella,126765,126766,10813
Podura aquatica,207912,207915,173
Poecilobothrus nobilitatus,451398,68020,680
Polistes dominula,84640,52747,30504
Pollenia vagabunda,448298,932929,455
Polydesmus angustus,127612,121480,213
Polydrusus formosus,494559,48736,6541
Polyommatus icarus,55641,47923,31223
Polypedilum nubifer,1102814,53275,55
Polyphemus pediculus,483930,483931,42
Polyplax serrata,395500,330609,1
Polyxenus lagurus,133872,133871,536
Polyzonium germanicum,336995,121554,69
Pomatinus substriatus,505411,178026,18
Porcellio scaber,122238,122239,21007
Potamanthus luteus,781005,123605,30
Prays fraxinella,324792,479723,173
Prionoglaris stygia,1021899,480276,16
Prionotropis azami,760202,120414,25
Proasellus meridianus,483954,85607,3
Propsocus pulchripennis,141763,141764,34
Prosevania fuscipes,476070,199595,73
Prostomis mandibularis,704734,373135,24
Protoglomeris vasconica,1409260,563778,4
Pselaphochernes scorpioides,554551,172612,8
Pseudochorthippus parallelus,501625,47649,10754
Pseudogonalos hahnii,905036,343418,18
Pseudopostega crepusculella,522492,176537,25
Psila fimetaria,712461,319827,192
Psilochorus simoni,318908,47823,57
Psyche casta,61413,61415,1693
Psylla buxi,207696,48194,1596
Psyllipsocus ramburii,229302,212154,23
Ptenidium pusillum,395962,48304,3
Pterolonche albescens,468566,458020,8
Pthirus pubis,395978,372921,8
Ptychoptera contaminata,418158,82156,130
Pyralis farinalis,199870,49683,8306
Pyrgomorpha conica,154231,85311,511
Pyrochroa serraticornis,61517,51681,4746
Pyrrhocoris apterus,55610,55612,33127
Pytho depressus,622770,211805,110
Reduvius personatus,56521,48959,3282
Reticulitermes urbis,1425534,119932,22
Rhagio tringarius,321826,60470,1934
Rhagonycha fulva,62456,52932,22423
Rhinocola aceris,207578,446767,8
Rhizophagus bipustulatus,484658,174606,71
Rhyacophila dorsalis,482050,86047,2
Rhyparochromus vulgaris,141731,141732,3897
Rhysodes sulcatus,945553,174406,4
Riccardoella oudemansi,297378,245271,28
Roeslerstammia erxlebella,499934,373154,31
Rondaniella dimidiata,639211,83736,13
Rutpela maculata,62321,47961,8359
Sabacon simoni,1516531,172246,2
Saldula saltatoria,318796,135298,28
Salmincola edwardsii,424018,171327,2
Salpingus planirostris,541538,131987,81
Salticus scenicus,68901,48139,17999
Sapygina decemguttata,502160,209572,319
Saturnia pavonia,59346,47918,2364
Saxidromus delamarei,1205340,246196,2
Scapholeberis mucronata,203493,85726,23
Scathophaga stercoraria,132718,68719,5330
Scatopse notata,230507,203230,37
Scenopinus fenestralis,707301,245353,29
Schendyla nemorensis,230519,171453,32
Schreckensteinia festaliella,345532,345534,142
Sciara hemerobioides,334614,85259,113
Scolia hirta,131031,51967,2625
Scolopendra cingulata,128145,53764,2386
Scotolemon doriae,1305691,56367,31
Scotophaeus blackwalli,206295,50168,712
Scutigera coleoptrata,49552,49554,12707
Scythris limbella,230748,124020,191
Scytodes thoracica,57450,47431,2300
Segestria florentina,320827,57806,1042
Selamia reticulata,783872,48893,38
Sericoderus lateralis,203329,174370,14
Sericostoma personatum,451393,172828,42
Sericothrips staphylinus,409097,83443,13
Serratella ignita,416524,48010,46
Sesia apiformis,354819,51573,705
Sialis lutaria,319948,57846,40
Sicus ferrugineus,70175,61893,808
Sida crystallina,168927,338147,17
Sigara striata,624508,84735,21
Silba fumosa,1067653,322936,60
Simulium ornatum,521067,63164,2
Siphlonurus lacustris,1016662,86070,2
Siphonoperla torrentium,451407,85690,4
Siro rubens,525943,515815,126
Sisyra nigra,363245,211247,208
Sminthurides aquaticus,296715,171622,34
Sminthurinus elegans,296640,245385,37
Solva marginata,624336,245354,149
Spalangia nigripes,628765,1427001,1
Spercheus emarginatus,829395,370620,13
Sphaerites glabratus,908311,342437,8
Sphaerosoma pilosum,491919,491921,10
Sphex funerarius,466438,48742,1006
Spinturnix andegavinus,1280350,245166,1
Stathmopoda pedella,204720,360121,169
Steatoda nobilis,366894,47371,10455
Steganacarus magnus,955886,245219,2
Stenoniscus pleonalis,329168,245410,1
Stephanus serrator,735484,155498,116
Stigmella aurella,339411,85925,419
Stilbula cyniformis,752818,245001,18
Stiphrosoma sabulosum,548220,329767,2
Stomorhina lunata,326655,326656,1987
Stosatea italica,336996,132949,39
Streblocerus serricaudatus,483842,128810,5
Stylops ater,1349393,143219,4
Suillia variegata,343752,154606,607
Sylvicola punctatus,471969,245529,188
Symbiotes gibberosus,232053,506547,11
Tachina fera,52591,51953,2441
Tachycixius pilosus,547019,84074,126
Tachypeza nubila,780656,174422,120
Taeniopteryx nebulosa,482059,173394,21
Tanymastix stagnalis,488343,488344,21
Tanypeza longimana,765761,502052,33
Telema tenella,778282,172218,2
Temnoscheila caerulea,538124,84653,43
Teredus cylindricus,1014569,471716,7
Tetratoma fungorum,481158,174618,72
Tetrix subulata,129129,57658,1434
Tettigometra virescens,785888,466616,22
Tettigonia viridissima,133250,48124,16071
Thaumatomyia glabra,133767,127593,200
Thereva nobilitata,362410,202796,53
Theridiosoma gemmosum,153777,153780,231
Thersitina gasterostei,475653,339090,1
Thyatira batis,123022,84430,2686
Thymalus limbatus,703310,903240,34
Thyreocoris scarabaeoides,483176,133023,132
Thyris fenestrella,462041,82790,548
Tinagma perdicella,805234,178892,41
Tinodes waeneri,459194,154589,86
Tiphia femorata,604483,132105,143
Tipula paludosa,61917,51225,851
Tischeria ekebladella,468692,86104,367
Tomocerus vulgaris,472617,62038,325
Trabutina mannipara,60937,49574,7
Trachelipus rathkii,203479,171569,6051
Trichocera annulata,324127,178781,163
Trichodes apiarius,55048,55051,4723
Trichopria verticillata,1376656,203213,2
Trichopsocus clarus,398313,245089,102
Trigoniophthalmus alternatus,372465,142291,350
Trimerocaecilius becheti,1021943,245122,1
Triodia sylvina,461806,53783,7270
Triops cancriformis,60408,60397,146
Trioza centranthi,706328,85406,226
Tritoma bipustulata,114499,82103,205
Tritomegas bicolor,57839,57843,1727
