name,taxon_id,ancestry
Arixeniidae,713338,48460/1/47120/372739/47158/184884/47793/713334/713335/949881/713337
Arkyidae,860669,48460/1/47120/245097/47119/47118/120474/342614/319384
Armadillidae,85603,48460/1/47120/85493/473790/47187/774775/144114/48147/84718/343783/343798
Armadillidiidae,48296,48460/1/47120/85493/473790/47187/774775/144114/48147/84718/343783/343798
Arrenuridae,121464,48460/1/47120/245097/47119/52788/129763/83740/490738/495534/495535
Arrhenophanidae,245531,48460/1/47120/372739/47158/184884/47157/61414
Arrhopalitidae,171235,48460/1/47120/372739/243773/49470/152965/171234
Artematopidae,371115,48460/1/47120/372739/47158/184884/47208
Artematopodidae,176417,48460/1/47120/372739/47158/184884/47208/71130/372854/47207
Artemiidae,85605,48460/1/47120/85493/60395/495841/119123/1068364
Artesiidae,153206,48460/1/47120/85493/473790/47187/774775/144114/47628/869842/983321/983322/983314
Artheneidae,372918,48460/1/47120/372739/47158/184884/47744/61267/372868/466233
Arthropleidae,173185,48460/1/47120/372739/47158/184884/48011/154639
Arthrosphaeridae,122722,48460/1/47120/144128/47735/551278/372768/999505/122720
Artotrogidae,480459,48460/1/47120/85493/473790/1091452/121643/774777/774779/153122
Asaphidae,317827,48460/1/47120/205907/317829
Ascalaphidae,52103,48460/1/47120/372739/47158/184884/48763/489592/49359
Aschiphasmatidae,460562,48460/1/47120/372739/47158/184884/47198/569714/569717/429036
Ascidae,201307,48460/1/47120/245097/47119/52788/129762/52790/907177/936184/1270556/1185887
Ascidicolidae,996615,48460/1/47120/85493/473790/1091452/121643/774777/774779/85514/1066595
Asconiscidae,813902,48460/1/47120/85493/473790/47187/774775/144114/48147/343797/343796
Ascorhynchidae,372891,48460/1/47120/245097/47825/245099/372859/812656
Ascothoracidae,1066731,48460/1/47120/85493/473790/1091452/144117/473795/153118
Ascouracaridae,246199,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1466413/1466262
Asellidae,85607,48460/1/47120/85493/473790/47187/774775/144114/48147/343772/813869
Ashinagidae,1240134,48460/1/47120/372739/47158/184884/47157/55518
Asilidae,47982,48460/1/47120/372739/47158/184884/47822/48091/372865/354603
Asiopsocidae,245162,48460/1/47120/372739/47158/184884/83187/144300/480277
Askawachidae,1152334,48460/1/47120/245097/47119/47367/202277/526082/534092
